stName,stlon,stlats
F04D,-123.010803,46.082901
F05D,-121.459702,45.885201
G03D,-123.264099,45.211498
G05D,-121.316704,45.242199
H04D,-122.737701,44.523399
I02D,-123.846901,44.1059
I02E,-123.847298,44.1077
I03D,-123.348701,43.697201
I04A,-122.411301,43.794102
I05D,-121.3395,44.3386
J01E,-123.931396,43.161499
J04D,-122.109299,43.240501
J05D,-121.234703,43.284801
K02D,-123.665398,42.695499
K04D,-121.753502,42.624599
L02D,-123.603104,42.157799
L02E,-123.602898,42.158001
L02F,-123.570702,42.120899
L04D,-122.304604,42.217999
M04C,-121.839302,41.7826
ADEL,-119.90081,42.16946
ALSE,-123.590422,44.381816
BEER,-123.84725,44.10774
BUCK,-122.98619,44.19731
CAVE,-123.57071,42.12087
CHIL,-121.75364,42.62456
COOPR,-122.86902,45.45726
DBO,-123.244423,43.118721
DEAN,-123.97969,43.61428
DFAZ,-122.109299,43.240601
DING,-124.05399,42.86189
DRAN,-123.34871,43.69716
DUTCH,-122.89152,42.04354
FHAC,-121.33952,44.33858
GRESH,-122.43762,45.47534
GROND,-123.6922,45.02753
GROV,-123.157477,45.537666
GRSDL,-123.70544,46.01872
HBUG,-124.37943,42.64079
HSO2,-123.10723,43.52232
IRYS,-123.256973,43.885589
JAZZ,-118.934484,43.034014
JESE,-121.316704,45.242199
JOBT,-119.81254,45.46674
KBO,-124.225983,42.212357
KEB,-124.334251,42.872211
KING,-123.23115,42.69151
KUHN,-122.89579,45.78521
LAIR,-123.93143,43.16148
LOGZ,-123.6729,44.77568
LOKI,-123.10753,45.06207
LONE,-123.05772,43.36353
MARQ,-122.668535,45.065917
MINN,-123.264099,45.211498
MONKS,-123.003617,45.9942
NATH,-122.41135,43.7941
NBFR,-123.85323,45.72615
NECAN,-123.82404,45.86527
OLBLU,-123.6694,43.51067
OTLW,-121.574443,44.296736
PERY,-123.26019,45.04092
PF27,-122.760016,45.544686
PINE,-120.94066,43.79211
RAIN,-123.01079,46.082
RANT,-121.27649,42.0346
ROGE,-123.665398,42.695499
RSBO,-122.267036,44.043361
SALT,-122.58841,42.49337
SISQ,-123.632322,42.275352
SKAN,-123.28195,46.06615
STONY,-123.45442,45.21835
TBLE,-123.55804,42.93011
TDWTR,-123.88647,44.34874
TOOM,-121.23466,43.28485
TRASK,-123.52404,45.38892
TRIPT,-123.64376,45.62953
UCHR,-123.87091,44.83457
VERN,-123.247519,45.853099
VINO,-123.42155,43.42848
VITI,-123.318081,44.28157
WAGON,-119.89148,43.34869
WIKI,-123.58526,46.10589
WLOO,-122.73769,44.52342
WOOD,-122.304604,42.217899
WYLD,-123.429208,43.144475
ABER,-123.09923,46.34275
ASR2,-121.597405,46.139699
BABR,-123.78924,44.62132
BBO,-122.6797,42.88815
BICK,-120.33945,46.040117
BLOW,-122.1862,44.6837
BRO,-122.452037,44.267397
CDF,-122.04625,46.11712
EDM,-122.15121,46.19717
FISH,-123.5591,45.9306
FISH2,-123.49937,45.92751
HOOD,-121.650932,45.322262
HSR,-122.18065,46.17428
IZEE,-119.5042,44.082
JEDS,-124.04905,43.75157
KENT,-120.635101,45.235699
KREP,-121.4597,45.8852
LCCR,-122.4784,45.2059
PCOR,-123.967611,45.213864
PHIN,-119.927803,45.8951
SEAS2,-123.8957,46.035647
SHW,-122.23492,46.19364
SKAMO,-123.33755,46.30808
SSO2,-122.483434,44.841179
TDH,-121.791446,45.289998
TOUT,-122.56306,46.30318
TREE,-120.8934,42.7258
VFP,-121.466299,45.317992
YACT,-122.4193,45.9325
